GOLEM,LightGBM,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF,F-O,F-O,F-O,F-O,OF-F,OF-F,OF-F,OF-F
edge,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
5,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
5,m,,,,,,0.2458,0.2276,0.8571,0.0571,0.1148,0.3558,0.4294,0.8988,0.0643,0.1559,,,,,16336,1149,188,208,16714,771,154,242,-555,555,29,-29,-177,177,-5,5
5,mw,,,,,,0.2478,0.2264,0.8578,0.0558,0.1099,0.3593,0.4285,0.8997,0.0639,0.1539,,,,,16370,1115,191,205,16724,761,154,242,-521,521,32,-32,-167,167,-5,5
10,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
10,m,,,,,,0.3249,0.3659,0.8979,0.0552,0.1278,0.3746,0.4197,0.9107,0.0602,0.1347,,,,,16583,902,154,242,16811,674,160,236,-308,308,-5,5,-80,80,1,-1
10,mw,,,,,,0.3293,0.3661,0.8962,0.0559,0.1276,0.3978,0.4572,0.9135,0.048,0.1048,,,,,16604,881,152,244,16890,595,159,237,-287,287,-7,7,-1,1,0,0
15,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
15,m,,,,,,0.354,0.39,0.9013,0.0433,0.0937,0.423,0.4465,0.9073,0.0317,0.0577,,,,,16775,710,164,232,17022,463,177,219,-116,116,5,-5,131,-131,18,-18
15,mw,,,,,,0.3671,0.394,0.8998,0.0354,0.069,0.4067,0.4432,0.9086,0.0421,0.0939,,,,,16873,612,173,223,16929,556,167,229,-18,18,14,-14,38,-38,8,-8
20,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
20,m,,,,,,0.3974,0.42,0.9122,0.0383,0.0812,0.4451,0.4893,0.9204,0.0269,0.053,,,,,16921,564,162,234,17086,399,173,223,30,-30,3,-3,195,-195,14,-14
20,mw,,,,,,0.3942,0.4217,0.9139,0.0346,0.0766,0.451,0.4969,0.9193,0.0237,0.0385,,,,,16933,552,171,225,17104,381,175,221,42,-42,12,-12,213,-213,16,-16
25,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
25,m,,,,,,0.3758,0.4195,0.9018,0.0439,0.102,0.4669,0.4844,0.9162,0.025,0.043,,,,,16842,643,164,232,17118,367,173,223,-49,49,5,-5,227,-227,14,-14
25,mw,,,,,,0.3985,0.4175,0.9047,0.0407,0.0783,0.4218,0.4667,0.9138,0.045,0.1002,,,,,16944,541,169,227,16964,521,164,232,53,-53,10,-10,73,-73,5,-5
30,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
30,m,,,,,,0.4122,0.4591,0.9098,0.0327,0.0698,0.4373,0.4805,0.9164,0.0284,0.0555,,,,,17011,474,178,218,17065,420,175,221,120,-120,19,-19,174,-174,16,-16
30,mw,,,,,,0.4538,0.4737,0.9102,0.0241,0.0386,0.4562,0.4836,0.914,0.0246,0.0422,,,,,17134,351,181,215,17104,381,173,223,243,-243,22,-22,213,-213,14,-14
35,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
35,m,,,,,,0.4294,0.4804,0.9149,0.0346,0.0868,0.4535,0.4858,0.914,0.0274,0.0556,,,,,17003,482,164,232,17099,386,170,226,112,-112,5,-5,208,-208,11,-11
35,mw,,,,,,0.4507,0.4808,0.9162,0.0376,0.0834,0.48,0.4921,0.9173,0.0258,0.0459,,,,,17043,442,162,234,17142,343,170,226,152,-152,3,-3,251,-251,11,-11
40,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
40,m,,,,,,0.4638,0.494,0.9176,0.0248,0.0453,0.4627,0.4892,0.9136,0.0247,0.0429,,,,,17135,350,175,221,17109,376,168,228,244,-244,16,-16,218,-218,9,-9
40,mw,,,,,,0.4495,0.4829,0.9122,0.0386,0.0758,0.4569,0.4942,0.9137,0.0267,0.0592,,,,,17060,425,169,227,17082,403,161,235,169,-169,10,-10,191,-191,2,-2
45,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
45,m,,,,,,0.4604,0.4835,0.9113,0.0417,0.0862,0.4506,0.4871,0.9133,0.0264,0.0537,,,,,17062,423,164,232,17091,394,172,224,171,-171,5,-5,200,-200,13,-13
45,mw,,,,,,0.4843,0.4904,0.9162,0.0401,0.0662,0.4837,0.4963,0.9141,0.0221,0.031,,,,,17162,323,170,226,17159,326,169,227,271,-271,11,-11,268,-268,10,-10
50,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
50,m,,,,,,0.4715,0.4887,0.9083,0.0301,0.0581,0.4828,0.495,0.9139,0.0246,0.0423,,,,,17135,350,176,220,17166,319,176,220,244,-244,17,-17,275,-275,17,-17
50,mw,,,,,,0.4743,0.4802,0.909,0.0358,0.0677,0.4754,0.4894,0.912,0.0355,0.0622,,,,,17122,363,169,227,17102,383,170,226,231,-231,10,-10,211,-211,11,-11
55,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
55,m,,,,,,0.4707,0.4972,0.9139,0.0234,0.0388,0.4784,0.4985,0.9149,0.026,0.0458,,,,,17148,337,174,222,17159,326,178,218,257,-257,15,-15,268,-268,19,-19
55,mw,,,,,,0.4733,0.4949,0.9096,0.0329,0.0654,0.4869,0.4931,0.9139,0.0244,0.0377,,,,,17145,340,176,220,17202,283,184,212,254,-254,17,-17,311,-311,25,-25
60,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
60,m,,,,,,0.4385,0.4707,0.9124,0.045,0.0938,0.4752,0.4968,0.9144,0.0222,0.0334,,,,,17056,429,171,225,17186,299,183,213,165,-165,12,-12,295,-295,24,-24
60,mw,,,,,,0.4763,0.499,0.9179,0.0232,0.0399,0.4643,0.4896,0.9141,0.026,0.0522,,,,,17147,338,169,227,17131,354,170,226,256,-256,10,-10,240,-240,11,-11
65,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
65,m,,,,,,0.4678,0.4999,0.9128,0.0238,0.0425,0.4452,0.4693,0.9138,0.0453,0.0829,,,,,17149,336,178,218,17031,454,173,223,258,-258,19,-19,140,-140,14,-14
65,mw,,,,,,0.4714,0.5092,0.9164,0.0227,0.0373,0.5027,0.5092,0.9196,0.0192,0.0176,,,,,17149,336,174,222,17246,239,184,212,258,-258,15,-15,355,-355,25,-25
70,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
70,m,,,,,,0.4688,0.4929,0.9108,0.0265,0.0544,0.433,0.4698,0.9075,0.0429,0.1005,,,,,17124,361,175,221,17010,475,163,233,233,-233,16,-16,119,-119,4,-4
70,mw,,,,,,0.4781,0.4994,0.9211,0.0228,0.0374,0.4777,0.5023,0.9153,0.0214,0.0296,,,,,17157,328,171,225,17199,286,185,211,266,-266,12,-12,308,-308,26,-26
